PrimaryOrg,ExtraOrg,OrgType,webpage,twitter,Notes
City of Seattle,Public Utilities Restore Our Waters,City_Gov,http://www.seattle.gov/util/restoreourwaters/,,
City of Seattle,Public Utilities,City_Gov,http://www.seattle.gov/util/,,
City of Sequim,,City_Gov,http://www.sequimwa.gov/,,
City of Snohomish,,City_Gov,http://ci.snohomish.wa.us/,,
City of Tumwater,,City_Gov,http://www.ci.tumwater.wa.us/,,
Clallam Conservation District,,Special_District,http://clallamcd.org/,,
Clallam County,Department of Community Development,County_Gov,http://www.clallam.net/dcd/,,
Clallam County,,County_Gov,http://www.clallam.net/,,
Clallam County Streamkeepers,,Local_Advocacy,http://www.clallam.net/SK/,,
Coupeville Middle School,,Local_Outreach/Ed,http://coupeville.k12.wa.us/schools/coupeville-middle-school/,,
"Dumas & Associates, Inc.",,Consulting,http://www.dumas-assoc.com/,,
ENVIRON,,Consulting,http://www.ramboll.com/,,
Environmental Coaliton of South Seattle,,Local_Advocacy,http://www.ecoss.org/,,
Environmental Science Associates,,Consulting,http://www.esassoc.com/,,
Feet First,,Regional_Advocacy,http://www.feetfirst.org/,,
Feiro Marine Life Center,,Local_Outreach/Ed,http://feiromarinelifecenter.org/,,
Friends of Freeland,,Local_Advocacy,http://www.friendsoffreeland.org/,,Bad link; cannot find anything newer
Friends of North Creek Forest,,Local_Advocacy,http://www.friendsnorthcreekforest.org/,,
Friends of the Issaquah Salmon Hatchery,,Local_Advocacy,http://www.issaquahfish.org/,,
Friends of the San Juans,,Local_Advocacy,http://www.sanjuans.org/,,
Futurewise,,Regional_Advocacy,http://www.futurewisewa.org/,,
Great Peninsula Conservancy,,Local_Advocacy,http://www.greatpeninsula.org/,,
Greenfleet Monitoring Expeditions,,Local_Outreach/Ed,http://greenfleetme.org/,,
HCCC,,Local_Commission,http://hccc.wa.gov/,,
Hood Canal Salmon Enhancement,,Local_Commission,http://pnwsalmoncenter.org/,,
Island County,,County_Gov,https://www.islandcountywa.gov/Pages/Home.aspx,,
Island County Water Resources Advisory Committee,,Local_Commission,https://www.islandcountywa.gov/Health/DNR/WRAC/Pages/Home.aspx,,
Island Salmon Recovery Lead Entity,,Local_Commission,http://www.ecy.wa.gov/water/wria/06.html,,
Jamestown S'Klallam Tribe,,Tribe,http://www.jamestowntribe.org/,,
Jefferson County,Department of Community Development,County_Gov,http://www.co.jefferson.wa.us/commdevelopment/AboutDCD.htm,,
Jefferson County,Environmental Health,County_Gov,http://www.jeffersoncountypublichealth.org/index.php?environmental,,
Jefferson County,,County_Gov,http://www.co.jefferson.wa.us/Default.htm,,
Jefferson MRC,,Local_Commission,http://www.jeffersonmrc.org/,,
King Conservation District,,Special_District,http://kingcd.org/,,
King County,DNR,County_Gov,http://www.kingcounty.gov/depts/dnrp.aspx,,
King County,,County_Gov,http://www.kingcounty.gov/,,
Kitsap Conservation District,,Special_District,http://kingcd.org/,,
Kitsap County,Public Works Surface and Stormwater Management Program,County_Gov,http://www.kitsapgov.com/sswm/,,
Kitsap County,Surface and Stormwater Management,County_Gov,http://www.kitsapgov.com/sswm/,,
Kitsap County,,County_Gov,http://www.kitsapgov.com/,,
Kitsap County,DCD/Natural Resources,County_Gov,http://www.kitsapgov.com/dcd/nr/nr.htm,,
Kitsap County,Solid Waste Division,County_Gov,http://www.kitsapgov.com/sw/,,
Kitsap Public Health District,,Special_District,https://www.kitsappublichealth.org/,,
Kitsap PUD,,Special_District,http://www.kpud.org/,,
LakeWhatcom.org,,Local_Advocacy,http://lakewhatcom.org/,,
Long Live the Kings,,NGO,http://www.lltk.org/,,
LOTT Clean Water Alliance,,Local_Commission,http://www.lottcleanwater.org/,,
Lower Hood Canal Watershed Coalition,,Local_Commission,,,No site
Lummi Tribe,Natural Resources Department,Tribe,http://www.lummi-nsn.org/,,
Mason Conservation District,,Special_District,http://www.masoncd.org/,,
Mason County,,County_Gov,https://www.co.mason.wa.us/,,
Mason County,Public Health,County_Gov,http://www.co.mason.wa.us/health/,,
Mason County,Public Health,County_Gov,http://www.co.mason.wa.us/health/,,
National Park Service,Olympic National Park,Federal_Agency,https://www.nps.gov/olym/index.htm,,
NatureBridge,,Local_Outreach/Ed,https://naturebridge.org/olympic,https://twitter.com/NatureBridge,
Newcastle Weed Warriors,,Local_Advocacy,http://www.weedwarriors.us/,,
Nisqually Land Trust,,Parks_Reserves,http://nisquallylandtrust.org/,,
Nisqually River Council,,Local_Advocacy,http://nisquallyriver.org/,,
Nisqually River Foundation,,Local_Advocacy,http://nisquallyriver.org/who-we-are/nisqually-river-foundation/,,
Nisqually Tribe,,Tribe,http://www.nisqually-nsn.gov/,,
NMFS,,Federal_Agency,http://www.nmfs.noaa.gov/,,
NMFS,Habitat Consv Division,Federal_Agency,http://www.habitat.noaa.gov/,,
NOAA,B-WET/Olympic Coast NMS,Federal_Agency,http://olympiccoast.noaa.gov/ocean_literacy/bwet.html,,
NOAA,,Federal_Agency,http://www.westcoast.fisheries.noaa.gov/,,
Nooksack Salmon Enhancement Association,,Local_Advocacy,http://www.n-sea.org/,,
Nooksack Tribe,Natural Resources,Tribe,http://nooksacktribe.org/departments/natural-resources/,,
North Olympic Land Trust,,Parks_Reserves,https://northolympiclandtrust.org/,,
North Olympic Timber Action Committee,,NR_Industry,http://www.notac.org/,,
Northern Economics,,Consulting,http://northerneconomics.com/,,
Northwest Indian College,,University_Research,http://www.nwic.edu/,,
Northwest Straits Commission,,Regional_Commission,http://www.nwstraits.org/,,
NOSC,,Local_Commission,http://nosc.org/,,
NPS,San Juan Island National Historic Park,Parks_Reserves,https://www.nps.gov/sajh/index.htm,,
NWFSC,,Federal_Agency,https://www.nwfsc.noaa.gov/,https://twitter.com/NOAAFish_NWFSC,
NWIFC,,Regional_Commission,http://nwifc.org/,https://twitter.com/nwifc,
Olympic Outdoor Center,,Local_Outreach/Ed,http://www.olympicoutdoorcenter.com/,,
OrcaNet,,NGO,http://www.orcanetwork.org/Main/,,
Pacific Denkmann Company,,NR_Industry,,,Doesn't seem to have a website; perhaps out of business?
Padilla Bay National Estuarine Research Reserve,,Parks_Reserves,http://www.padillabay.gov/,,
